prediction_id,drug,disease,source_tier,mechanism_notes,verdict,reasoning,reviewer_confidence,provenance
drkg:Disease::MESH:D003874||drkg:Compound::DB00860,Prednisolone,bullous dermatitis herpetiformis,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D003874||drkg:Compound::DB00741,Hydrocortisone,bullous dermatitis herpetiformis,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D003874||drkg:Compound::DB00959,Methylprednisolone,bullous dermatitis herpetiformis,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D003874||drkg:Compound::DB01234,Dexamethasone,bullous dermatitis herpetiformis,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D003874||drkg:Compound::DB00635,Prednisone,bullous dermatitis herpetiformis,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D001762||drkg:Compound::DB00254,Doxycycline,blepharitis,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D001762||drkg:Compound::DB00618,Demeclocycline,blepharitis,MEDIUM,gene_overlap=0; lit=NO_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D001762||drkg:Compound::DB01017,Minocycline,blepharitis,HIGH,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D001762||drkg:Compound::DB00595,Oxytetracycline,blepharitis,MEDIUM,gene_overlap=0; lit=WEAK_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D001762||drkg:Compound::DB00759,Tetracycline,blepharitis,MEDIUM,gene_overlap=0; lit=MODERATE_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D001762||drkg:Compound::DB00798,Gentamicin,blepharitis,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D001762||drkg:Compound::DB00199,Erythromycin,blepharitis,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D004485||drkg:Compound::DB00959,Methylprednisolone,eczema,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D004485||drkg:Compound::DB01234,Dexamethasone,eczema,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D004485||drkg:Compound::DB00860,Prednisolone,eczema,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
drkg:Disease::MESH:D004485||drkg:Compound::DB00443,Betamethasone,eczema,HIGH,gene_overlap=0; lit=STRONG_EVIDENCE,,,,expert_ryland
